;12;13;14;15;16
11;17;16,8;16,6;16,4;16,2
11,5;17,8;17,6;17,4;17,1;16,9
12;18,5;18,3;18,1;17,9;17,7
12,5;19,3;19,1;18,9;18,6;18,4
13;20,1;19,8;19,6;19,4;19,2
13,5;20,8;20,6;20,4;20,1;19,9
14;21,6;21,4;21,1;20,9;20,6
14,5;22,4;22,1;21,9;21,6;21,4
15;23,2;22,9;22,6;22,4;22,1
15,5;23,9;23,7;23,4;23,1;22,8
16;24,7;24,4;24,1;23,9;23,6
16,5;25,5;25,2;24,9;24,6;24,3
17;26,2;25,9;25,6;25,4;25,1
17,5;27;26,7;26,4;26,1;25,8
18;27,8;27,5;27,2;26,8;26,5
18,5;28,6;28,2;27,9;27,6;27,3
19;29,3;29;28,7;28,3;28
19,5;30,1;29,8;29,4;29,1;28,7
20;30,9;30,5;30,2;29,8;29,5
20,5;31,6;31,3;30,9;30,6;30,2
21;32,4;32,1;31,7;31,3;30,9
21,5;33,2;32,8;32,4;32,1;31,7
22;34;33,6;33,2;32,8;32,4
