Feldstücknutzungsarten;Abkürzung;Kurzname
Ackerland;A;A - Ackerland
Grünland;G;G - Grünland
Gemeinsnchachaftsweide;D;D - Gemeinschaftsweide
Almen;L;L - Almen
Spezialkulturen;S;S - Spezialkulturen
Geschützter Anbau;GA;GA - Geschützter Anbau
Weingartenflächen im Ertrag inkl. Junganlagen und Schnittweingärten;WI;WI - Wein
Weingartenflächen im Ertrag inkl. Junganlagen und Schnittweingärten – Terrassenanlagen;WT;WT - Wein
Sonstige Nutzfläche;NF;NF - Sonstige Nutzfläche
Forst;FO;FO - Forst
