Katastralgemeindenummer;Katastralgemeinde_Name;Bundesland;GWA;NAPV Anlage 5 Gebiet;Faktor für Saldo;GW-Acker Layer;Feuchtgebiet;Trockengebiet
1002;Alsergrund;Wien;;;;;;
1004;Innere Stadt;Wien;;;;;;
1005;Josefstadt;Wien;;;;;;
1006;Landstraße;Wien;;;;;;
1008;Margarethen;Wien;;;;;;
1009;Mariahilf;Wien;;;;;;
1010;Neubau;Wien;;;;;;
1011;Wieden;Wien;;;;;;
1101;Favoriten;Wien;;;;;;
1102;Inzersdorf Stadt;Wien;;;;;;
1103;Kaiserebersdorf;Wien;X;;0,8;Trockengebiet;;X
1104;Oberlaa Land;Wien;X;;0,8;Trockengebiet;;X
1105;Oberlaa Stadt;Wien;X;;0,8;Trockengebiet;;X
1106;Rothneusiedl;Wien;X;;0,8;Trockengebiet;;X
1107;Simmering;Wien;X;;0,8;Trockengebiet;;X
1108;Unterlaa;Wien;X;;0,8;Trockengebiet;;X
1109;Albern;Wien;X;;0,8;Trockengebiet;;X
1201;Auhof;Wien;;;;;;
1202;Breitensee;Wien;;;;;;
1203;Hacking;Wien;;;;;;
1204;Hadersdorf;Wien;;;;;;
1205;Hietzing;Wien;;;;;;
1206;Hütteldorf;Wien;;;;;;
1207;Lainz;Wien;;;;;;
1208;Oberbaumgarten;Wien;;;;;;
1209;Ober St. Veit;Wien;;;;;;
1210;Penzing;Wien;;;;;;
1211;Rosenberg;Wien;;;;;;
1212;Schönbrunn;Wien;;;;;;
1213;Speising;Wien;;;;;;
1214;Unterbaumgarten;Wien;;;;;;
1215;Unter St. Veit;Wien;;;;;;
1216;Weidlingau;Wien;;;;;;
1301;Altmannsdorf;Wien;;;;;;
1302;Fünfhaus;Wien;;;;;;
1303;Gaudenzdorf;Wien;;;;;;
1304;Hetzendorf;Wien;;;;;;
1305;Meidling;Wien;;;;;;
1306;Rudolfsheim;Wien;;;;;;
1307;Sechshaus;Wien;;;;;;
1401;Dornbach;Wien;;;;;;
1402;Hernals;Wien;;;;;;
1403;Neulerchenfeld;Wien;;;;;;
1404;Neuwaldegg;Wien;;;;;;
1405;Ottakring;Wien;;;;;;
1501;Gersthof;Wien;;;;;;
1502;Grinzing;Wien;;;;;;
1503;Heiligenstadt;Wien;;;;;;
1504;Josefsdorf;Wien;;;;;;
1505;Kahlenbergerdorf;Wien;;;;;;
1506;Neustift am Walde;Wien;;;;;;
1507;Nußdorf;Wien;;;;;;
1508;Oberdöbling;Wien;;;;;;
1509;Obersievering;Wien;;;;;;
1510;Pötzleinsdorf;Wien;;;;;;
1511;Salmannsdorf;Wien;;;;;;
1512;Unterdöbling;Wien;;;;;;
1513;Untersievering;Wien;;;;;;
1514;Währing;Wien;;;;;;
1515;Weinhaus;Wien;;;;;;
1603;Donaufeld;Wien;X;X;0,8;Trockengebiet;;X
