ID;Kultur;Feldstücknutzungsart;Düngeobergrenze EL niedrig;Düngeobergrenze EL niedrig A5;EL niedrig Bereich;EL niedrig t / m3 ab;Entzugsfaktor EL niedrig;Düngeobergrenze EL mittel;Düngeobergenze EL mittel A5;EL mittel Bereich ;EL mittel t / m3 je ab;Entzugsfaktor EL mittel;Düngeobergrenze EL hoch 1;Düngeobergrenze EL hoch 1 A5;EL hoch 1 Bereich;EL hoch 1 t / m3 ab;Entzugsfaktor EL hoch 1;Düngeobergrenze EL hoch 2;Düngeobergenze EL hoch 2 A5;EL hoch 2 Bereich;EL hoch 2 t / m3 ab;Entzugsfaktor EL hoch 2;Düngeobergrenze EL hoch 3;Düngeobergenze EL hoch 3 A5;EL hoch 3 t / m3 Bereich;EL hoch 3 t / m3 ab;EL hoch 3 t / m3 bis;Entzugsfaktor EL hoch3;Entzugswert höher EL hoch 3 für Körnermais / CCM;N-Nachlieferung;N-Nachlieferung im Folgejahr;Mindestvorrat;Mindestvorrat im Folgejahr;Gemüsekultur;Phosphor A niedrig;Phosphor A mittel;Phosphor A hoch;Phosphor B niedrig;Phosphor B mittel;Phosphor B hoch;Phosphor C niedrig;Phosphor C mittel;Phosphor C hoch;Phosphor D niedrig;Phosphor D mittel;Phosphor D hoch;Phosphor E;Kalium A niedrig;Kalium A mittel;Kalium A hoch;Kalium B niedrig;Kalium B mittel;Kalium B hoch;Kalium C niedrig;Kalium C mittel;Kalium C hoch;Kalium D niedrig;Kalium D mittel;Kalium D hoch;Kalium E;WRRL Steiermark EL niedrig;WRRL Steiermark EL mittel -10%;WRRL Steiermark EL mittel;WRRL Steiermark EL hoch 1;WRRL Steiermark EL hoch 2;WRRL Steiermark EL hoch 3;"Saldierungsart 1=t/ha; 2=m3/ha;3=kg N/ha;4=Weichweizen; 5=Braugerste;6=Mais;7=EL Auswahl;8=keine Eingabe";Ertragserfassungsart
1.1.10;Winterweichweizen < 14 % RP;A;105;95;< 5,0 t;0;;145;130;5,0 - 6,0 t;5;;170;150;6,0 - 7,5 t;6;;180;160;7,5 - 9,0 t;7,5;;195;175;> 9,0 t;9;;;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;70;70;70;70;80;90;40;40;40;0;96;108;120;144;156;168;4;t
1.1.20;Winterweichweizen ? 14 % RP;A;105;95;< 4,0 t;0;;145;130;4,0 - 5,5 t;4;;170;150;5,5 - 6,75 t;5,5;;180;160;6,75 - 8,0 t;6,75;;195;175;> 8,0 t;8;;;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;70;70;70;70;80;90;40;40;40;0;96;108;120;144;156;168;4;t
1.1.30;Winterhartweizen (Durum);A;105;95;< 4,0 t;0;23;145;130;4,0 - 5,25 t;4;23;170;150;5,25 - 6,5 t;5,25;23;180;160;6,5 - 7,75 t;6,5;23;195;175;> 7,75 t;7,75;;23;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;100;100;100;70;80;90;40;40;40;0;96;108;120;144;156;168;1;t
1.1.40;Winterdinkel (Spelzenanteil ca.30 %);A;80;70;< 3,5 t;0;24;110;95;3,5 - 5,5 t;3,5;24;130;110;5,5 - 6,5 t;5,5;24;140;120;6,5 - 7,5 t;6,5;24;150;130;> 7,5 t;7,5;;24;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;100;100;100;70;80;90;40;40;40;0;72;81;90;108;117;126;1;t
1.1.50;Sommerhartweizen (Durum);A;105;95;< 4,0 t;0;23;145;130;4,0 - 5,25 t;4;23;170;150;5,25 - 6,5 t;5,25;23;180;160;6,5 - 7,75 t;6,5;23;195;175;> 7,75 t;7,75;;23;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;100;100;100;70;80;90;40;40;40;0;96;108;120;144;156;168;1;t
1.1.60;Sommerdinkel (Spelzenanteil ca. 30 %);A;80;70;< 3,5 t;0;24;110;95;3,5 - 5,5 t;3,5;24;130;110;5,5 - 6,5 t;5,5;24;140;120;6,5 - 7,5 t;6,5;24;150;130;> 7,5 t;7,5;;24;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;100;100;100;70;80;90;40;40;40;0;72;81;90;108;117;126;1;t
1.1.70;Sommerweichweizen < 14% RP;A;105;95;< 5,0 t;0;;145;130;5,0 - 6,0 t;5;;170;150;6,0 - 7,5 t;6;;180;160;7,5 - 9,0 t;7,5;;195;175;> 9,0 t;9;;;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;70;70;70;70;80;90;40;40;40;0;96;108;120;144;156;168;4;t
1.1.80;Sommerweichweizen ? 14% RP;A;105;95;< 4,0 t;0;;145;130;4,0 - 5,5 t;4;;170;150;5,5 - 6,75 t;5,5;;180;160;6,75 - 8,0 t;6,75;;195;175;> 8,0 t;8;;;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;70;70;70;70;80;90;40;40;40;0;96;108;120;144;156;168;4;t
1.1.90;Wintergerste;A;95;80;< 5,0 t;0;18;130;110;5,0 - 6,0 t;5;18;155;135;6,0 - 7,5 t;6;18;170;145;7,5 - 9,0 t;7,5;18;180;155;> 9,0 t;9;;18;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;100;100;100;70;80;90;40;40;40;0;88;99;110;132;143;154;1;t
1.1.100;Winterbraugerste;A;70;60;< 4,5 t;0;;100;85;4,5 - 5,5 t;4,5;;115;100;5,5 - 7,0 t;5,5;;125;105;7,0 - 8,5 t;7;;135;115;> 8,5 t;8,5;;;;0;0;;;;85;85;85;70;70;70;50;55;65;28;28;28;0;120;120;120;100;100;100;70;80;90;40;40;40;0;48;54;60;72;78;84;5;t
