ID;Organischer Dünger / Sekundärrohstoff;Faktor N feldfallend;Jahreswirksamkeit;kombinierter Faktor NaL zu Njw;Schnellwirksamkeit;Löslichkeit
2.3.1;Biogasgülle Feststofffraktion  < 32,5% NH4 - Anteil;0,91;0,5;0,455;0,15;leicht
2.3.2;Biogasgülle Feststofffraktion >= 32,5% NH4 - Anteil;0,87;0,7;0,609;0,5;leicht
2.3.3;Biogasgülle flüssig  >= 77,5% NH4 - Anteil;0,87;1;0,87;0,9;leicht
2.3.4;Biogasgülle flüssig < 55% NH4 - Anteil;0,87;0,7;0,609;0,5;leicht
2.3.5;Biogasgülle flüssig >= 55% bis 62,5% NH4 - Anteil;0,87;0,8;0,696;0,6;leicht
2.3.6;Biogasgülle flüssig >= 62,5% bis 77,5% NH4 - Anteil;0,87;0,85;0,7395;0,65;leicht
2.3.7;Carbokalk;0,91;0,5;0,455;0,15;langsam
2.3.8;Grün- und Strauchschnittkompost;0,91;0,1;0,091;0,01;langsam
2.3.9;Kartoffelrestfruchtwasser;0,91;0,5;0,455;0,15;langsam
2.3.10;Klärschlamm abgepresst, krümelig (über 15% TM);0,91;0,5;0,455;0,15;langsam
2.3.11;Klärschlamm flüssig (unter 15% TM);0,87;0,7;0,609;0,5;leicht
2.3.12;Klärschlamm flüssig, aerob stabilisiert;0,91;0,5;0,455;0,15;leicht
2.3.13;Klärschlammkompost;0,91;0,1;0,091;0,01;langsam
2.3.14;Kompost;0,91;0,1;0,091;0,01;langsam
2.3.15;Molke;0,91;0,5;0,455;0,15;langsam
2.3.16;Organischer Handelsdünger TM-Gehalt über 15%;0,91;0,5;0,455;0,15;langsam
2.3.17;Organischer Handelsdünger TM-Gehalt unter 15%;0,87;0,7;0,609;0,5;leicht
2.3.18;Presspülpe;0,91;0,5;0,455;0,15;langsam
2.3.19;Restmelasse;0,91;0,5;0,455;0,15;langsam
2.3.20;Schlempe;0,91;0,5;0,455;0,15;langsam
2.3.21;Senkgrubengrauwasser;0,87;1;0,87;0,9;leicht
2.3.22;Vinasse;0,91;0,5;0,455;0,15;langsam
