Düngerkategorie;Organischer Dünger;Wirtschafts-düngerart;wirksam wie;Jahreswirksamkeit;Faktor N feldfallend;Schnellwirksamkeit;Löslichkeit
Betriebsfremde Wirtschaftsdünger;Hühnerkot industriell getrocknet;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Junghennen (Voraufzucht), Festmist;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Legehünergülle (verdünnter Kot);Gülle;Geflügelgülle;0,85;0,87;0,6;leicht
Betriebsfremde Wirtschaftsdünger;Legehennen Trockenkot;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Masthähnchen Festmist;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Mastkälber Gülle;Gülle;Rindergülle;0,7;0,87;0,5;leicht
Betriebsfremde Wirtschaftsdünger;Mastrinder Gülle;Gülle;Rindergülle;0,7;0,87;0,5;leicht
Betriebsfremde Wirtschaftsdünger;Mastschweine Gülle Getreide;Gülle;Schweinegülle;0,8;0,87;0,65;leicht
Betriebsfremde Wirtschaftsdünger;Mastschweine Gülle MKS-CCM;Gülle;Schweinegülle;0,8;0,87;0,65;leicht
Betriebsfremde Wirtschaftsdünger;Mastschweine Tiefstallmist;Tiefstallmist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Milchkühe Gülle unverdünnt;Gülle;Rindergülle;0,7;0,87;0,5;leicht
Betriebsfremde Wirtschaftsdünger;Milchkühe Gülle verdünnt 1:1;Gülle;Rindergülle;0,7;0,87;0,5;leicht
Betriebsfremde Wirtschaftsdünger;Milchkühe Jauche;Jauche;Jauche;1;0,87;0,9;leicht
Betriebsfremde Wirtschaftsdünger;Milchkühe Stallmist;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Milchkühe Stallmistkompost;Stallmistkompost;Kompost;0,1;0,91;0,01;langsam
Betriebsfremde Wirtschaftsdünger;Pferde Tiefstallmist;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Pferdemist;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Puten Festmist;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Rinderjauche;Jauche;Jauche;1;0,87;0,9;leicht
Betriebsfremde Wirtschaftsdünger;Rindermist;Mist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Schafe Tiefstallmist;Tiefstallmist;Mist;0,5;0,91;0,15;langsam
Betriebsfremde Wirtschaftsdünger;Zuchtsauen Gülle unverdünnt;Gülle;Schweinegülle;0,8;0,87;0,65;leicht
Betriebsfremde Wirtschaftsdünger;Zuchtsauen Gülle verdünnt 1:1;Gülle;Schweinegülle;0,8;0,87;0,65;leicht
Betriebsfremde Wirtschaftsdünger;Zuchtsauen Jauche;Jauche;Schweinegülle;0,8;0,87;0,65;leicht
Betriebsfremde Wirtschaftsdünger;Zuchtsauen Stallmist;Mist;Mist;0,5;0,91;0,15;langsam
